key_type,total,covered,correct,wrong,acc,support_breakdown
key_body_hex,4135,140,140,0,1.0,"{2: [96, 96], 3: [28, 28], 4: [10, 10], 5: [6, 6]}"
key_marker_tail,4135,2652,2651,1,0.9996229260935143,"{2: [117, 117], 3: [120, 120], 4: [105, 105], 5: [90, 90], 6: [98, 98], 7: [89, 88], 8: [162, 162], 9: [80, 80], 10: [77, 77], 11: [48, 48], 12: [52, 52], 13: [56, 56], 14: [75, 75], 15: [48, 48], 16: [68, 68], 17: [90, 90], 18: [76, 76], 19: [100, 100], 20: [21, 21], 21: [44, 44]}"
key_ins_tail24,4135,3273,3268,5,0.9984723495264284,"{2: [220, 216], 3: [208, 208], 4: [180, 180], 5: [138, 138], 6: [154, 154], 7: [121, 120], 8: [144, 144], 9: [80, 80], 10: [165, 165], 11: [108, 108], 12: [78, 78], 13: [154, 154], 14: [105, 105], 15: [96, 96], 16: [136, 136], 17: [54, 54], 18: [57, 57], 19: [60, 60], 20: [42, 42], 21: [110, 110]}"
key_ins_tail30,4135,2614,2610,4,0.9984697781178271,"{2: [403, 399], 3: [316, 316], 4: [170, 170], 5: [144, 144], 6: [154, 154], 7: [88, 88], 8: [126, 126], 9: [40, 40], 10: [99, 99], 11: [60, 60], 12: [52, 52], 13: [70, 70], 14: [90, 90], 15: [64, 64], 16: [68, 68], 17: [144, 144], 18: [76, 76], 21: [22, 22], 22: [92, 92], 23: [48, 48]}"
key_ins_full,4135,1420,1417,3,0.997887323943662,"{2: [510, 507], 3: [400, 400], 4: [165, 165], 5: [96, 96], 6: [70, 70], 7: [64, 64], 8: [54, 54], 10: [22, 22], 11: [12, 12], 12: [13, 13], 13: [14, 14]}"
key_op_full,4135,1846,1841,5,0.9972914409534128,"{2: [492, 489], 3: [406, 404], 4: [200, 200], 5: [144, 144], 6: [133, 133], 7: [120, 120], 8: [63, 63], 9: [10, 10], 10: [22, 22], 12: [26, 26], 13: [28, 28], 14: [15, 15], 15: [16, 16], 16: [17, 17], 17: [54, 54], 20: [21, 21], 24: [25, 25], 25: [26, 26], 27: [28, 28]}"
key_ins_tail18,4135,3740,3729,11,0.9970588235294118,"{2: [102, 96], 3: [121, 120], 4: [146, 145], 5: [134, 132], 6: [182, 182], 7: [169, 168], 8: [135, 135], 9: [110, 110], 10: [143, 143], 11: [144, 144], 12: [91, 91], 13: [182, 182], 14: [105, 105], 15: [80, 80], 16: [136, 136], 17: [90, 90], 18: [95, 95], 19: [60, 60], 20: [84, 84], 21: [154, 154]}"
key_len_ins_calls,4135,1782,1775,7,0.9960718294051627,"{2: [554, 549], 3: [413, 412], 4: [266, 265], 5: [168, 168], 6: [112, 112], 7: [88, 88], 8: [45, 45], 9: [30, 30], 10: [55, 55], 11: [24, 24], 12: [13, 13], 13: [14, 14]}"
key_callseq,4135,2794,2782,12,0.9957050823192556,"{2: [65, 60], 3: [14, 12], 4: [7, 5], 5: [8, 6], 6: [42, 42], 7: [57, 56], 8: [117, 117], 9: [140, 140], 10: [143, 143], 11: [192, 192], 12: [169, 169], 13: [70, 70], 14: [60, 60], 16: [51, 51], 17: [90, 90], 18: [133, 133], 19: [120, 120], 20: [210, 210], 21: [220, 220], 22: [92, 92]}"
