split,variant,alpha_seed,gamma,knn,prop_alpha,macro_f1,per_class_f1,counts
ratio_prefix,quota,0.1,1.2,50,0.75,0.7264803348631563,"{'0': 0.8494660304476256, '1': 0.8026819923371648, '2': 0.5272929818046788}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,1.2,50,0.9,0.7462091361615085,"{'0': 0.8444884181119776, '1': 0.8483982860640685, '2': 0.5457407043084792}","{'0': 8380, '1': 2813, '2': 2390}"
ratio_prefix,quota,0.1,1.2,50,0.9,0.7279137586984491,"{'0': 0.8485571461031584, '1': 0.8060344827586207, '2': 0.5291496472335685}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,1.2,120,0.5,0.7446581204627999,"{'0': 0.8490783410138248, '1': 0.847015685475657, '2': 0.5378803348989177}","{'0': 8558, '1': 2821, '2': 2204}"
ratio_prefix,quota,0.1,1.2,120,0.5,0.7283571469354616,"{'0': 0.8549193365144285, '1': 0.8084291187739464, '2': 0.5217229855180097}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,1.2,120,0.75,0.7479390944741754,"{'0': 0.8472809405223838, '1': 0.8492647058823529, '2': 0.5472716370177894}","{'0': 8465, '1': 2808, '2': 2310}"
ratio_prefix,quota,0.1,1.2,120,0.75,0.7233950809600094,"{'0': 0.8494660304476256, '1': 0.7945402298850575, '2': 0.526178982547345}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,1.2,120,0.9,0.7461627692410727,"{'0': 0.8444935714701263, '1': 0.8480392156862745, '2': 0.5459555205668175}","{'0': 8387, '1': 2808, '2': 2388}"
ratio_prefix,quota,0.1,1.2,120,0.9,0.7293964323896924,"{'0': 0.8491251988184504, '1': 0.8084291187739464, '2': 0.5306349795766803}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,2.0,20,0.5,0.7453015532372826,"{'0': 0.8476184964407663, '1': 0.8465608465608465, '2': 0.5417253167102353}","{'0': 8477, '1': 2826, '2': 2280}"
ratio_prefix,quota,0.1,2.0,20,0.5,0.7258159279295925,"{'0': 0.8500340831629175, '1': 0.7978927203065134, '2': 0.5295209803193465}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,2.0,20,0.75,0.746114332681762,"{'0': 0.8452996918783792, '1': 0.8477684939881801, '2': 0.5452748121787268}","{'0': 8399, '1': 2819, '2': 2365}"
ratio_prefix,quota,0.1,2.0,20,0.75,0.728603024287625,"{'0': 0.8477618723017496, '1': 0.8055555555555556, '2': 0.53249164500557}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,2.0,20,0.9,0.7465653282082306,"{'0': 0.8441724941724942, '1': 0.8482871125611745, '2': 0.5472363778910231}","{'0': 8358, '1': 2816, '2': 2409}"
ratio_prefix,quota,0.1,2.0,20,0.9,0.7284069578347226,"{'0': 0.8453760508975233, '1': 0.803639846743295, '2': 0.5362049758633495}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,2.0,50,0.5,0.7448245122902845,"{'0': 0.8479454429867653, '1': 0.846326073682068, '2': 0.5402020202020202}","{'0': 8501, '1': 2825, '2': 2257}"
ratio_prefix,quota,0.1,2.0,50,0.5,0.7271458145435346,"{'0': 0.8515110202226767, '1': 0.8041187739463601, '2': 0.525807649461567}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,2.0,50,0.75,0.7464801699326081,"{'0': 0.8455907981875218, '1': 0.8482871125611745, '2': 0.5455625990491284}","{'0': 8412, '1': 2816, '2': 2355}"
ratio_prefix,quota,0.1,2.0,50,0.75,0.726957909767576,"{'0': 0.8486707566462167, '1': 0.8026819923371648, '2': 0.5295209803193465}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,2.0,50,0.9,0.7462991500921872,"{'0': 0.844452206310397, '1': 0.8486332109343125, '2': 0.5458120330318521}","{'0': 8376, '1': 2814, '2': 2393}"
ratio_prefix,quota,0.1,2.0,50,0.9,0.7286423405977832,"{'0': 0.84560327198364, '1': 0.8041187739463601, '2': 0.5362049758633495}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,2.0,120,0.5,0.7445998318880536,"{'0': 0.8480157125527121, '1': 0.846326073682068, '2': 0.5394577094293809}","{'0': 8509, '1': 2825, '2': 2249}"
ratio_prefix,quota,0.1,2.0,120,0.5,0.7268021844865752,"{'0': 0.8519654623949102, '1': 0.8041187739463601, '2': 0.5243223171184552}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,2.0,120,0.75,0.7465385548481006,"{'0': 0.8456578565204763, '1': 0.8482871125611745, '2': 0.5456706954626511}","{'0': 8413, '1': 2816, '2': 2354}"
ratio_prefix,quota,0.1,2.0,120,0.75,0.7250118392746283,"{'0': 0.8487843671892752, '1': 0.7993295019157088, '2': 0.5269216487189009}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,2.0,120,0.9,0.7465224647880561,"{'0': 0.8445505356311132, '1': 0.8486332109343125, '2': 0.5463836477987422}","{'0': 8374, '1': 2814, '2': 2395}"
ratio_prefix,quota,0.1,2.0,120,0.9,0.7288039884740619,"{'0': 0.8457168825266985, '1': 0.8041187739463601, '2': 0.5365763089491273}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,0.7,20,0.5,0.7418582493860293,"{'0': 0.848087431693989, '1': 0.8461538461538461, '2': 0.5313334703102527}","{'0': 8583, '1': 2826, '2': 2174}"
ratio_prefix,quota,1.0,0.7,20,0.5,0.7304191589439782,"{'0': 0.8556009997727789, '1': 0.821360153256705, '2': 0.5142963238024508}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,0.7,20,0.75,0.7489637844022318,"{'0': 0.848256689447469, '1': 0.8487446417636252, '2': 0.5498900219956009}","{'0': 8464, '1': 2811, '2': 2308}"
ratio_prefix,quota,1.0,0.7,20,0.75,0.7335156546857889,"{'0': 0.8504885253351511, '1': 0.8127394636015326, '2': 0.5373189751206833}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,0.7,20,0.9,0.7483407210504369,"{'0': 0.847184364669721, '1': 0.8490912803757402, '2': 0.5487465181058496}","{'0': 8441, '1': 2809, '2': 2333}"
ratio_prefix,quota,1.0,0.7,20,0.9,0.7324821996935352,"{'0': 0.8493524199045671, '1': 0.8122605363984674, '2': 0.5358336427775715}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,0.7,50,0.5,0.7427614179807692,"{'0': 0.8489307886870545, '1': 0.8468431771894094, '2': 0.5325102880658437}","{'0': 8594, '1': 2822, '2': 2167}"
ratio_prefix,quota,1.0,0.7,50,0.5,0.7322629985687983,"{'0': 0.856509884117246, '1': 0.8237547892720306, '2': 0.5165243223171184}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,0.7,50,0.75,0.7451094314853624,"{'0': 0.8481626993297897, '1': 0.8464831804281345, '2': 0.5406824146981627}","{'0': 8506, '1': 2817, '2': 2260}"
ratio_prefix,quota,1.0,0.7,50,0.75,0.7301376524321096,"{'0': 0.8513974096796183, '1': 0.8098659003831418, '2': 0.5291496472335685}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,0.7,50,0.9,0.7476960937049549,"{'0': 0.847347695158675, '1': 0.8489061541607034, '2': 0.5468344317954863}","{'0': 8466, '1': 2803, '2': 2314}"
ratio_prefix,quota,1.0,0.7,50,0.9,0.7298813760185286,"{'0': 0.8494660304476256, '1': 0.8084291187739464, '2': 0.5317489788340141}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,0.7,120,0.5,0.7414446961256412,"{'0': 0.848053290455955, '1': 0.8477064220183487, '2': 0.5285743759026201}","{'0': 8612, '1': 2817, '2': 2154}"
ratio_prefix,quota,1.0,0.7,120,0.5,0.7307222601680495,"{'0': 0.8556009997727789, '1': 0.8237547892720306, '2': 0.5128109914593391}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,0.7,120,0.75,0.7456187701599424,"{'0': 0.8488452655889146, '1': 0.8463106400326131, '2': 0.5417004048582996}","{'0': 8518, '1': 2818, '2': 2247}"
ratio_prefix,quota,1.0,0.7,120,0.75,0.7299928872558369,"{'0': 0.852760736196319, '1': 0.8117816091954023, '2': 0.5254363163757891}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,0.7,120,0.9,0.7493097333991537,"{'0': 0.8492311249855474, '1': 0.849079754601227, '2': 0.549618320610687}","{'0': 8496, '1': 2802, '2': 2285}"
ratio_prefix,quota,1.0,0.7,120,0.9,0.7321457985850772,"{'0': 0.8518518518518519, '1': 0.8098659003831418, '2': 0.5347196435202377}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,1.2,20,0.5,0.743546759881745,"{'0': 0.8486698145802142, '1': 0.8461538461538461, '2': 0.5358166189111748}","{'0': 8564, '1': 2826, '2': 2193}"
ratio_prefix,quota,1.0,1.2,20,0.5,0.733986512102755,"{'0': 0.8552601681436037, '1': 0.8242337164750958, '2': 0.5224656516895655}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,1.2,20,0.75,0.7487236163921515,"{'0': 0.8479054406396662, '1': 0.8487446417636252, '2': 0.549520766773163}","{'0': 8457, '1': 2811, '2': 2315}"
ratio_prefix,quota,1.0,1.2,20,0.75,0.7333059694762899,"{'0': 0.8506021358782095, '1': 0.8127394636015326, '2': 0.5365763089491273}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,1.2,20,0.9,0.7472324436791276,"{'0': 0.8459975619666802, '1': 0.8490912803757402, '2': 0.5466084886949624}","{'0': 8425, '1': 2809, '2': 2349}"
ratio_prefix,quota,1.0,1.2,20,0.9,0.7346474693715717,"{'0': 0.8494660304476256, '1': 0.8175287356321839, '2': 0.5369476420349053}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,1.2,50,0.5,0.743149234322559,"{'0': 0.8490598585475245, '1': 0.8466707391569945, '2': 0.5337171052631579}","{'0': 8589, '1': 2823, '2': 2171}"
ratio_prefix,quota,1.0,1.2,50,0.5,0.7316244289647115,"{'0': 0.856509884117246, '1': 0.8218390804597702, '2': 0.5165243223171184}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,1.2,50,0.75,0.7461757591154011,"{'0': 0.8480851556172625, '1': 0.8466707391569945, '2': 0.543771382571946}","{'0': 8484, '1': 2823, '2': 2276}"
ratio_prefix,quota,1.0,1.2,50,0.75,0.7303479908182203,"{'0': 0.8506021358782095, '1': 0.8079501915708812, '2': 0.53249164500557}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,1.2,50,0.9,0.7478547226356458,"{'0': 0.8471296993570063, '1': 0.8490912803757402, '2': 0.5473431881741909}","{'0': 8461, '1': 2809, '2': 2313}"
ratio_prefix,quota,1.0,1.2,50,0.9,0.7317435444724936,"{'0': 0.849579640990684, '1': 0.8113026819923371, '2': 0.5343483104344597}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,1.2,120,0.5,0.7429678557204573,"{'0': 0.8486868570771795, '1': 0.8477064220183487, '2': 0.5325102880658437}","{'0': 8599, '1': 2817, '2': 2167}"
ratio_prefix,quota,1.0,1.2,120,0.5,0.732793974055598,"{'0': 0.856509884117246, '1': 0.8242337164750958, '2': 0.5176383215744523}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,1.2,120,0.75,0.7460398058039569,"{'0': 0.8483902664585862, '1': 0.8468431771894094, '2': 0.5428859737638748}","{'0': 8499, '1': 2822, '2': 2262}"
ratio_prefix,quota,1.0,1.2,120,0.75,0.7300679284958417,"{'0': 0.8515110202226767, '1': 0.8084291187739464, '2': 0.5302636464909023}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,1.2,120,0.9,0.7481484062073808,"{'0': 0.8474635163307853, '1': 0.8490912803757402, '2': 0.5478904219156169}","{'0': 8466, '1': 2809, '2': 2308}"
ratio_prefix,quota,1.0,1.2,120,0.9,0.7300430238948076,"{'0': 0.849579640990684, '1': 0.8084291187739464, '2': 0.532120311919792}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,2.0,20,0.5,0.7429266173066437,"{'0': 0.8488130905738649, '1': 0.8447785453067859, '2': 0.5351882160392799}","{'0': 8554, '1': 2834, '2': 2195}"
ratio_prefix,quota,1.0,2.0,20,0.5,0.7347393454265118,"{'0': 0.8549193365144285, '1': 0.8242337164750958, '2': 0.5250649832900112}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,2.0,20,0.75,0.7476546580057591,"{'0': 0.8470588235294118, '1': 0.8493262556145366, '2': 0.5465788948733293}","{'0': 8453, '1': 2810, '2': 2320}"
ratio_prefix,quota,1.0,2.0,20,0.75,0.7355355998414342,"{'0': 0.849579640990684, '1': 0.8189655172413793, '2': 0.5380616412922391}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,2.0,20,0.9,0.747823566773851,"{'0': 0.8473180632067265, '1': 0.8486332109343125, '2': 0.5475194261805141}","{'0': 8443, '1': 2814, '2': 2326}"
ratio_prefix,quota,1.0,2.0,20,0.9,0.7344681458427597,"{'0': 0.8494660304476256, '1': 0.8151340996168582, '2': 0.538804307463795}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,2.0,50,0.5,0.7439510660168841,"{'0': 0.8487152897799286, '1': 0.8461538461538461, '2': 0.5369840621168778}","{'0': 8556, '1': 2826, '2': 2201}"
ratio_prefix,quota,1.0,2.0,50,0.5,0.7344917900359932,"{'0': 0.8549193365144285, '1': 0.8242337164750958, '2': 0.5243223171184552}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,2.0,50,0.75,0.7480022584034708,"{'0': 0.8473751303743191, '1': 0.8493262556145366, '2': 0.5473053892215569}","{'0': 8456, '1': 2810, '2': 2317}"
ratio_prefix,quota,1.0,2.0,50,0.75,0.7349605979719281,"{'0': 0.8500340831629175, '1': 0.8175287356321839, '2': 0.5373189751206833}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,2.0,50,0.9,0.7472333755923041,"{'0': 0.846564531104921, '1': 0.8486332109343125, '2': 0.5465023847376789}","{'0': 8430, '1': 2814, '2': 2339}"
ratio_prefix,quota,1.0,2.0,50,0.9,0.7359069329272122,"{'0': 0.849579640990684, '1': 0.8189655172413793, '2': 0.539175640549573}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,2.0,120,0.5,0.7437227774097219,"{'0': 0.8488686740745005, '1': 0.8461538461538461, '2': 0.5361458120008191}","{'0': 8567, '1': 2826, '2': 2190}"
ratio_prefix,quota,1.0,2.0,120,0.5,0.7323996020681273,"{'0': 0.8556009997727789, '1': 0.821360153256705, '2': 0.5202376531748979}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,2.0,120,0.75,0.748142369118327,"{'0': 0.8475931182297399, '1': 0.8490912803757402, '2': 0.5477427087495006}","{'0': 8461, '1': 2809, '2': 2313}"
ratio_prefix,quota,1.0,2.0,120,0.75,0.7349605979719281,"{'0': 0.8500340831629175, '1': 0.8175287356321839, '2': 0.5373189751206833}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,1.0,2.0,120,0.9,0.7476960220799013,"{'0': 0.8467872883321735, '1': 0.8493262556145366, '2': 0.5469745222929936}","{'0': 8442, '1': 2810, '2': 2331}"
ratio_prefix,quota,1.0,2.0,120,0.9,0.7344681458427597,"{'0': 0.8494660304476256, '1': 0.8151340996168582, '2': 0.538804307463795}","{'0': 8802, '1': 2088, '2': 2693}"
