split,source_mode,config,alpha,variant,macro_f1,per_class_f1,counts
ratio_prefix,front05,single_pair,5.0,raw,0.44063440760633066,"{'0': 0.8126702682735374, '1': 0.5092329545454546, '2': 0.0}","{'0': 12855, '1': 728, '2': 0}"
ratio_prefix,front05,single_pair,5.0,quota,0.6533893885719062,"{'0': 0.7876618950238582, '1': 0.6934865900383141, '2': 0.4790196806535462}","{'0': 8802, '1': 2088, '2': 2693}"
actual_prefix,all,single,0.5,raw,0.26601139984740363,"{'0': 0.7980341995422109, '1': 0.0, '2': 0.0}","{'0': 17854, '1': 0, '2': 0}"
actual_prefix,all,single,0.5,quota,0.645830949568962,"{'0': 0.793149991564029, '1': 0.6972, '2': 0.4471428571428571}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,all,single,5.0,raw,0.26601139984740363,"{'0': 0.7980341995422109, '1': 0.0, '2': 0.0}","{'0': 17854, '1': 0, '2': 0}"
actual_prefix,all,single,5.0,quota,0.645830949568962,"{'0': 0.793149991564029, '1': 0.6972, '2': 0.4471428571428571}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,all,pair,0.5,raw,0.3109450122458433,"{'0': 0.8027901936882026, '1': 0.13004484304932734, '2': 0.0}","{'0': 17678, '1': 176, '2': 0}"
actual_prefix,all,pair,0.5,quota,0.6518610426860132,"{'0': 0.7999831280580395, '1': 0.7076, '2': 0.448}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,all,pair,5.0,raw,0.3109450122458433,"{'0': 0.8027901936882026, '1': 0.13004484304932734, '2': 0.0}","{'0': 17678, '1': 176, '2': 0}"
actual_prefix,all,pair,5.0,quota,0.6517658045907752,"{'0': 0.7999831280580395, '1': 0.7076, '2': 0.44771428571428573}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,all,single_pair,0.5,raw,0.3401472953853906,"{'0': 0.8060544217687075, '1': 0.2143874643874644, '2': 0.0}","{'0': 17546, '1': 308, '2': 0}"
actual_prefix,all,single_pair,0.5,quota,0.6549866583110383,"{'0': 0.7996456892188291, '1': 0.7076, '2': 0.45771428571428574}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,all,single_pair,5.0,raw,0.31749392910078683,"{'0': 0.8033492660768161, '1': 0.1491325212255445, '2': 0.0}","{'0': 17645, '1': 209, '2': 0}"
actual_prefix,all,single_pair,5.0,quota,0.6546057059300859,"{'0': 0.7996456892188291, '1': 0.7076, '2': 0.4565714285714286}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,front025,single,0.5,raw,0.26601139984740363,"{'0': 0.7980341995422109, '1': 0.0, '2': 0.0}","{'0': 17854, '1': 0, '2': 0}"
actual_prefix,front025,single,0.5,quota,0.7002596125880755,"{'0': 0.816264552049941, '1': 0.8168, '2': 0.4677142857142857}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,front025,single,5.0,raw,0.26601139984740363,"{'0': 0.7980341995422109, '1': 0.0, '2': 0.0}","{'0': 17854, '1': 0, '2': 0}"
actual_prefix,front025,single,5.0,quota,0.699149390601525,"{'0': 0.8155053146617176, '1': 0.8168, '2': 0.46514285714285714}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,front025,pair,0.5,raw,0.3378974440097054,"{'0': 0.8059559423443025, '1': 0.20773638968481375, '2': 0.0}","{'0': 17562, '1': 292, '2': 0}"
actual_prefix,front025,pair,0.5,quota,0.7257846593876289,"{'0': 0.8302682638771722, '1': 0.8268, '2': 0.5202857142857142}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,front025,pair,5.0,raw,0.3145554614730079,"{'0': 0.8031981569942744, '1': 0.14046822742474915, '2': 0.0}","{'0': 17663, '1': 191, '2': 0}"
actual_prefix,front025,pair,5.0,quota,0.7233048567090071,"{'0': 0.830943141555593, '1': 0.8244, '2': 0.5145714285714286}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,front025,single_pair,0.5,raw,0.4464054177529963,"{'0': 0.8221774753506458, '1': 0.5170387779083431, '2': 0.0}","{'0': 16950, '1': 904, '2': 0}"
actual_prefix,front025,single_pair,0.5,quota,0.7226989451019147,"{'0': 0.8302682638771722, '1': 0.8264, '2': 0.5114285714285715}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,front025,single_pair,5.0,raw,0.4446982255523066,"{'0': 0.8218636127017178, '1': 0.5122310639552019, '2': 0.0}","{'0': 16961, '1': 893, '2': 0}"
actual_prefix,front025,single_pair,5.0,quota,0.7211787477805363,"{'0': 0.8295933861987514, '1': 0.8228, '2': 0.5111428571428571}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,front05,single,0.5,raw,0.26601139984740363,"{'0': 0.7980341995422109, '1': 0.0, '2': 0.0}","{'0': 17854, '1': 0, '2': 0}"
actual_prefix,front05,single,0.5,quota,0.6437428941004443,"{'0': 0.7900286823013328, '1': 0.6992, '2': 0.442}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,front05,single,5.0,raw,0.26601139984740363,"{'0': 0.7980341995422109, '1': 0.0, '2': 0.0}","{'0': 17854, '1': 0, '2': 0}"
actual_prefix,front05,single,5.0,quota,0.6437428941004443,"{'0': 0.7900286823013328, '1': 0.6992, '2': 0.442}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,front05,pair,0.5,raw,0.3150339407331091,"{'0': 0.8032525834321531, '1': 0.14184923876717415, '2': 0.0}","{'0': 17661, '1': 193, '2': 0}"
actual_prefix,front05,pair,0.5,quota,0.6623898607663076,"{'0': 0.8008267251560655, '1': 0.7012, '2': 0.48514285714285715}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,front05,pair,5.0,raw,0.3150339407331091,"{'0': 0.8032525834321531, '1': 0.14184923876717415, '2': 0.0}","{'0': 17661, '1': 193, '2': 0}"
actual_prefix,front05,pair,5.0,quota,0.661335878586292,"{'0': 0.8002362071874473, '1': 0.7012, '2': 0.4825714285714286}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,front05,single_pair,0.5,raw,0.3401083175829887,"{'0': 0.8060138099935372, '1': 0.21431114275542898, '2': 0.0}","{'0': 17545, '1': 309, '2': 0}"
actual_prefix,front05,single_pair,0.5,quota,0.6562673222621257,"{'0': 0.7970305382149485, '1': 0.6932, '2': 0.4785714285714286}","{'0': 11854, '1': 2500, '2': 3500}"
