ensemble,members,alpha_exact,weight_0,weight_1,weight_2,macro_f1,weighted_f1,pred_count_0,pred_count_1,pred_count_2
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.0,1.2,0.7547418536408053,0.7702238723907594,24772,12641,10652
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.0,1.15,0.7547312860641998,0.770667291315076,24979,12626,10460
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.0,1.0,0.7547267684833207,0.7712903118026948,25393,12720,9952
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,1.0,1.25,0.7547247176030578,0.7702105633032357,24806,12607,10652
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,0.75,1.25,0.7547215740322563,0.7702921964343321,24952,12377,10736
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,1.1,1.2,0.7547188211624056,0.7705680832180072,24926,12682,10457
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.05,1.15,0.7547102800503497,0.7705045043482088,24916,12674,10475
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,1.0,1.1,0.7547065896711057,0.7707356402101112,25031,12647,10387
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.1,1.0,0.7547063328691589,0.771281160973043,25389,12771,9905
tree_core,"lgbm,catboost,xgb,extra_trees",0.3,1.0,0.85,0.95,0.7547055104600574,0.7709974843883056,25268,12611,10186
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,0.95,1.2,0.754703084074453,0.770517158694796,25008,12568,10489
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.25,1.2,0.7547020243232453,0.7702273821682565,24730,12758,10577
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,1.05,1.1,0.7546966415232924,0.7707424643646064,25026,12666,10373
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,0.85,1.15,0.7546890357191697,0.7706337289852914,25079,12494,10492
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,0.95,1.2,0.7546888097206678,0.7701632310057098,24822,12577,10666
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,1.2,1.0,0.7546882847588993,0.7709560555971244,25193,12807,10065
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,1.05,1.25,0.7546854663973241,0.7702101528804305,24775,12643,10647
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,1.1,1.0,0.754677576722953,0.7709712929779942,25213,12744,10108
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,0.75,1.15,0.7546708710218244,0.7706148681475085,25122,12416,10527
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,0.8,1.15,0.754670721654476,0.7706223117560006,25109,12443,10513
tree_core,"lgbm,catboost,xgb,extra_trees",0.3,1.0,0.9,0.95,0.754665375202456,0.7709623264041598,25267,12618,10180
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,0.85,1.1,0.7546609487312138,0.7704874996895569,25014,12520,10531
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,0.75,1.2,0.7546606577489564,0.770555091460601,25117,12391,10557
tree_core,"lgbm,catboost,xgb,extra_trees",0.7,1.0,0.9,1.25,0.7546571505542673,0.7701177234175467,24858,12528,10679
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,0.85,1.1,0.754655175057399,0.770646514334395,25125,12501,10439
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.1,1.2,0.7546478403154864,0.7701824054134754,24744,12673,10648
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,0.9,1.2,0.7546462103694727,0.7701381714573834,24839,12544,10682
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,1.0,1.2,0.7546338983965364,0.7704508763368305,24971,12612,10482
tree_core,"lgbm,catboost,xgb,extra_trees",0.7,1.0,0.95,1.25,0.7546315750474171,0.7700950422712487,24843,12561,10661
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,0.8,1.0,0.7546305854169604,0.7708618474065639,25315,12503,10247
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.15,1.05,0.7546219116080114,0.7712310891436298,25414,12776,9875
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.25,1.1,0.7546116330461041,0.770874545756878,25204,12802,10059
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,0.85,1.0,0.7546088733605941,0.7708583081299039,25296,12549,10220
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,0.9,1.25,0.7546085404355888,0.7701419324250496,24860,12522,10683
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,0.95,1.0,0.7546052465849126,0.7708846476283324,25226,12654,10185
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.2,1.2,0.7546049137656251,0.7701575264703481,24739,12762,10564
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.25,1.2,0.7546044960097255,0.7701503294767815,24734,12779,10552
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,1.25,1.2,0.7546033939236515,0.7704759749348851,24904,12778,10383
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,1.0,1.0,0.7546024971427393,0.7709028335181547,25217,12671,10177
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,1.15,1.1,0.7545999405990717,0.7706587400366511,25021,12716,10328
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.7,1.0,0.75,1.25,0.7545947512590708,0.770377275543066,25102,12394,10569
tree_core,"lgbm,catboost,xgb,extra_trees",0.7,1.0,0.75,1.2,0.7545926605592151,0.7704567692215449,25144,12402,10519
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,0.9,1.0,0.7545913453227314,0.7708780968781379,25234,12631,10200
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.2,1.2,0.7545885671061333,0.770130363746973,24738,12720,10607
tree_core,"lgbm,catboost,xgb,extra_trees",0.3,1.0,1.1,0.95,0.7545872384486202,0.7709316134867857,25241,12752,10072
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.2,1.1,0.7545856259508062,0.7708490076381078,25212,12779,10074
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.15,1.2,0.7545841293438937,0.770132603012993,24744,12723,10598
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.2,1.0,0.754582008713767,0.7711814977144718,25375,12825,9865
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,1.15,1.2,0.7545814597408645,0.7704445813802699,24917,12717,10431
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.0,1.15,0.754579682471716,0.7703722011124259,24930,12647,10488
