split,config_id,alpha,soft_weight,source_decay,dropout,best_epoch,raw_macro_f1,quota_macro_f1,raw_counts,quota_counts
ratio_prefix,0,1.0,1.0,0.0,0.05,20,0.7686074559198365,0.7534972146226554,"{'0': 8592, '1': 2775, '2': 2216}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,1,1.0,0.7,3.0,0.08,40,0.775543790759885,0.7572686561353629,"{'0': 8611, '1': 2739, '2': 2233}","{'0': 8802, '1': 2088, '2': 2693}"
actual_prefix,0,1.0,1.0,0.0,0.05,24,0.73040223807956,0.772449285352744,"{'0': 10228, '1': 3345, '2': 4281}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,1,1.0,0.7,3.0,0.08,24,0.7351026464591678,0.7820512167883856,"{'0': 10155, '1': 3300, '2': 4399}","{'0': 11854, '1': 2500, '2': 3500}"
