split,alpha_meta,w2,variant,macro_f1,per_class_f1,counts
ratio_prefix,0.6000000000000001,1.16,raw,0.7699170033487865,"{'0': 0.8661311162294253, '1': 0.8584745762711864, '2': 0.5851453175457482}","{'0': 8999, '1': 2632, '2': 1952}"
ratio_prefix,0.4,1.16,raw,0.7692921370266249,"{'0': 0.8639645273151043, '1': 0.8591607810552555, '2': 0.5847511027095148}","{'0': 8789, '1': 2726, '2': 2068}"
ratio_prefix,0.5,1.16,raw,0.7686516917103224,"{'0': 0.865150832958127, '1': 0.8572033001903956, '2': 0.5836009419824448}","{'0': 8966, '1': 2639, '2': 1978}"
ratio_prefix,0.5,1.08,raw,0.7682313250866226,"{'0': 0.8654300168634064, '1': 0.8572033001903956, '2': 0.5820606582060658}","{'0': 8988, '1': 2639, '2': 1956}"
ratio_prefix,0.5,1.25,raw,0.768116941367088,"{'0': 0.8633386040207816, '1': 0.8572033001903956, '2': 0.5838089198900867}","{'0': 8906, '1': 2639, '2': 2038}"
ratio_prefix,0.4,1.25,raw,0.7678361308940919,"{'0': 0.8622515802061386, '1': 0.8596965287881937, '2': 0.5815602836879432}","{'0': 8759, '1': 2723, '2': 2101}"
ratio_prefix,0.4,1.08,raw,0.7676431998578299,"{'0': 0.8647269014803471, '1': 0.8575575368028199, '2': 0.5806451612903226}","{'0': 8829, '1': 2735, '2': 2019}"
ratio_prefix,0.7000000000000001,1.0,raw,0.7675927276326538,"{'0': 0.8697005056398288, '1': 0.855748833262622, '2': 0.5773288439955107}","{'0': 9195, '1': 2626, '2': 1762}"
ratio_prefix,0.7000000000000001,0.9,raw,0.767055270044926,"{'0': 0.8706156147836206, '1': 0.855748833262622, '2': 0.5748013620885357}","{'0': 9245, '1': 2626, '2': 1712}"
ratio_prefix,0.6000000000000001,1.0,raw,0.7670466563017886,"{'0': 0.8678318164051594, '1': 0.8570219966159053, '2': 0.5762861558843012}","{'0': 9107, '1': 2640, '2': 1836}"
ratio_prefix,0.6000000000000001,1.08,raw,0.7669716997592907,"{'0': 0.8668941979522184, '1': 0.8570219966159053, '2': 0.5769989047097481}","{'0': 9071, '1': 2640, '2': 1872}"
ratio_prefix,0.6000000000000001,0.9,raw,0.7669457739616821,"{'0': 0.8697537383956863, '1': 0.8570219966159053, '2': 0.5740615868734547}","{'0': 9187, '1': 2640, '2': 1756}"
ratio_prefix,0.6000000000000001,1.25,raw,0.7660343032732703,"{'0': 0.8607437549451792, '1': 0.8590205639177443, '2': 0.5783385909568874}","{'0': 8892, '1': 2629, '2': 2062}"
ratio_prefix,0.5,1.0,raw,0.7657279700301766,"{'0': 0.8654773925726467, '1': 0.8559357836924377, '2': 0.5757707338254451}","{'0': 9024, '1': 2646, '2': 1913}"
ratio_prefix,0.5,0.9,raw,0.7655715890322901,"{'0': 0.8663867898124825, '1': 0.8553937090985856, '2': 0.574934268185802}","{'0': 9063, '1': 2649, '2': 1871}"
ratio_prefix,0.4,1.0,raw,0.765531321141354,"{'0': 0.8647731130474143, '1': 0.8570244508910071, '2': 0.5747963994856408}","{'0': 8872, '1': 2738, '2': 1973}"
ratio_prefix,0.4,0.9,raw,0.7652839218325522,"{'0': 0.8675392079431343, '1': 0.8540206185567011, '2': 0.5742919389978214}","{'0': 8924, '1': 2762, '2': 1897}"
ratio_prefix,0.30000000000000004,1.25,raw,0.763942637947648,"{'0': 0.8582230623818525, '1': 0.8541924824452706, '2': 0.5794123690158208}","{'0': 8655, '1': 2754, '2': 2174}"
ratio_prefix,0.7000000000000001,1.08,raw,0.7634932009369396,"{'0': 0.8642389662695084, '1': 0.855748833262622, '2': 0.5704918032786885}","{'0': 9075, '1': 2626, '2': 1882}"
ratio_prefix,0.30000000000000004,1.0,raw,0.7634851901432519,"{'0': 0.8625042647560559, '1': 0.8517376105284804, '2': 0.5762136951452195}","{'0': 8784, '1': 2775, '2': 2024}"
ratio_prefix,0.7000000000000001,1.25,raw,0.7633672826928416,"{'0': 0.8579033810953163, '1': 0.8570214574038666, '2': 0.5751770095793419}","{'0': 8855, '1': 2619, '2': 2109}"
ratio_prefix,0.9,1.25,raw,0.7632526207824877,"{'0': 0.8592567491245905, '1': 0.8540379288301726, '2': 0.5764631843926998}","{'0': 8904, '1': 2605, '2': 2074}"
ratio_prefix,0.30000000000000004,1.08,raw,0.7631933622028239,"{'0': 0.8613105413105413, '1': 0.8519127930892637, '2': 0.5763567522086663}","{'0': 8748, '1': 2774, '2': 2061}"
ratio_prefix,0.8,1.25,raw,0.7630454135205587,"{'0': 0.8600293486849532, '1': 0.8555060471037556, '2': 0.5736008447729672}","{'0': 8916, '1': 2625, '2': 2042}"
ratio_prefix,0.30000000000000004,0.9,raw,0.7625769689861907,"{'0': 0.8646748681898067, '1': 0.8492925979085504, '2': 0.573763440860215}","{'0': 8837, '1': 2789, '2': 1957}"
ratio_prefix,0.30000000000000004,1.16,raw,0.7623827428845535,"{'0': 0.8593642808140864, '1': 0.852202552490737, '2': 0.5755813953488372}","{'0': 8690, '1': 2770, '2': 2123}"
ratio_prefix,0.8,0.9,raw,0.7623437487199277,"{'0': 0.8669146632613403, '1': 0.8555060471037556, '2': 0.5646105357946871}","{'0': 9209, '1': 2625, '2': 1749}"
ratio_prefix,0.8,1.16,raw,0.7618098653784416,"{'0': 0.860136314989016, '1': 0.8555060471037556, '2': 0.5697872340425532}","{'0': 8951, '1': 2625, '2': 2007}"
ratio_prefix,0.7000000000000001,1.16,raw,0.7617927694116345,"{'0': 0.8605828738606954, '1': 0.855748833262622, '2': 0.5690466011115861}","{'0': 8972, '1': 2626, '2': 1985}"
ratio_prefix,1.0,1.08,raw,0.7612741858221467,"{'0': 0.8605604537541416, '1': 0.8540379288301726, '2': 0.5692241748821261}","{'0': 9005, '1': 2605, '2': 1973}"
ratio_prefix,0.2,1.16,raw,0.7608864099933949,"{'0': 0.8582776882339397, '1': 0.8461224489795919, '2': 0.578259092766653}","{'0': 8570, '1': 2812, '2': 2201}"
ratio_prefix,1.0,1.16,raw,0.7608383584006342,"{'0': 0.8596658979695146, '1': 0.8540379288301726, '2': 0.5688112484022156}","{'0': 8977, '1': 2605, '2': 2001}"
ratio_prefix,1.0,1.25,raw,0.7605006644778677,"{'0': 0.8589447604031758, '1': 0.8540379288301726, '2': 0.5685193042002545}","{'0': 8957, '1': 2605, '2': 2021}"
ratio_prefix,0.8,1.0,raw,0.7602775210435663,"{'0': 0.8621307072515667, '1': 0.8555060471037556, '2': 0.5631958087753766}","{'0': 9070, '1': 2625, '2': 1888}"
ratio_prefix,0.9,1.08,raw,0.7602694637680135,"{'0': 0.8601897064601224, '1': 0.8540379288301726, '2': 0.5665807560137457}","{'0': 9015, '1': 2605, '2': 1963}"
ratio_prefix,0.8,1.08,raw,0.7600897673673513,"{'0': 0.8602090122485673, '1': 0.8555060471037556, '2': 0.5645542427497314}","{'0': 8996, '1': 2625, '2': 1962}"
ratio_prefix,0.9,1.16,raw,0.7599086085010699,"{'0': 0.8590709706444719, '1': 0.8540379288301726, '2': 0.5666169260285654}","{'0': 8980, '1': 2605, '2': 1998}"
ratio_prefix,0.2,1.25,raw,0.7596173261453583,"{'0': 0.855656997573096, '1': 0.8462951622780159, '2': 0.5768998185849628}","{'0': 8504, '1': 2811, '2': 2268}"
ratio_prefix,0.9,1.0,raw,0.7594563595995555,"{'0': 0.8607736662374741, '1': 0.8540379288301726, '2': 0.5635574837310195}","{'0': 9061, '1': 2605, '2': 1917}"
ratio_prefix,0.2,1.0,raw,0.758368198243868,"{'0': 0.861978273299028, '1': 0.8419983753046304, '2': 0.5711279461279462}","{'0': 8688, '1': 2836, '2': 2059}"
ratio_prefix,1.0,1.0,raw,0.7583170688842343,"{'0': 0.8619536128456735, '1': 0.8540379288301726, '2': 0.558959664976857}","{'0': 9134, '1': 2605, '2': 1844}"
